sample_id	effluent	time	polymer_type	bead_diameter	channel	matrix						
ESF21MP27	TWW	2	HDPE	3.175	5.1	MP						
ESF21MP28	CON	2	PS	3.175	7.1	MP						
ESF21MP29	TWW	2	LDPE	3.175	5.1	MP						
ESF21MP30	CON	2	Glass	3.175	7.1	MP						
ESF21MP31	CON	2	LDPE	3.175	8.2	MP						
ESF21MP33	CON	2	HDPE	3.175	6.1	MP						
ESF21MP34	CON	2	HDPE	3.175	7.2	MP						
ESF21MP35	TWW	2	LDPE	3.175	6.2	MP						
ESF21MP36	TWW	2	PP	3.175	8.1	MP						
ESF21MP37	TWW	2	PS	3.175	5.2	MP						
ESF21MP38	TWW	2	HDPE	3.175	8.1	MP						
ESF21MP40	CON	2	LDPE	3.175	7.2	MP						
ESF21MP41	TWW	2	PS	3.175	8.1	MP						
ESF21MP42	TWW	2	LDPE	3.175	5.2	MP						
ESF21MP43	TWW	2	PP	3.175	6.2	MP						
ESF21MP44	TWW	2	Glass	3.175	8.1	MP						
ESF21MP46	CON	2	HDPE	3.175	8.2	MP						
ESF21MP47	CON	2	PS	3.175	6.1	MP						
ESF21MP48	TWW	2	Glass	3.175	5.2	MP						
ESF21MP49	CON	2	LDPE	3.175	6.1	MP						
ESF21MP50	TWW	2	HDPE	3.175	5.2	MP						
ESF21MP51	CON	2	HDPE	3.175	7.1	MP						
ESF21MP52	CON	2	Glass	3.175	7.2	MP						
ESF21MP53	TWW	2	PS	3.175	5.1	MP						
ESF21MP54	CON	2	Glass	3.175	8.2	MP						
ESF21MP55	CON	2	Glass	3.175	6.1	MP						
ESF21MP56	TWW	6	PS	3.175	5.1	MP						
ESF21MP57	CON	6	LDPE	3.175	8.2	MP						
ESF21MP58	CON	6	HDPE	3.175	8.2	MP						
ESF21MP59	CON	6	PS	3.175	7.1	MP						
ESF21MP60	CON	6	PP	3.175	6.1	MP						
ESF21MP61	TWW	6	Glass	3.175	8.1	MP						
ESF21MP62	TWW	6	PP	3.175	8.1	MP						
ESF21MP63	TWW	6	PP	3.175	5.2	MP						
ESF21MP64	TWW	6	Glass	3.175	5.2	MP						
ESF21MP65	TWW	6	Glass	3.175	6.2	MP						
ESF21MP66	CON	6	HDPE	3.175	6.1	MP						
ESF21MP67	CON	6	Glass	3.175	8.2	MP						
ESF21MP68	TWW	6	LDPE	3.175	6.2	MP						
ESF21MP69	TWW	6	Glass	3.175	5.1	MP						
ESF21MP70	CON	6	PP	3.175	7.1	MP						
ESF21MP71	CON	6	PP	3.175	8.2	MP						
ESF21MP72	CON	6	Glass	3.175	7.2	MP						
ESF21MP73	TWW	6	PP	3.175	6.2	MP						
ESF21MP74	TWW	6	HDPE	3.175	5.2	MP						
ESF21MP75	CON	6	LDPE	3.175	7.2	MP						
ESF21MP76	CON	6	LDPE	3.175	6.1	MP						
ESF21MP77	TWW	6	LDPE	3.175	8.1	MP						
ESF21MP78	TWW	6	LDPE	3.175	5.2	MP						
ESF21MP79	CON	6	HDPE	3.175	7.2	MP						
ESF21MP80	TWW	6	PS	3.175	6.2	MP						
ESF21MP81	CON	6	PP	3.175	7.2	MP						
ESF21MP82	CON	6	LDPE	3.175	7.1	MP						
ESF21MP83	TWW	6	HDPE	3.175	6.2	MP						
ESF21MP84	CON	6	PS	3.175	6.1	MP						
ESF21MP86	TWW	6	HDPE	3.175	8.1	MP						
ESF21MP87	CON	6	Glass	3.175	6.1	MP						
ESF21MP88	TWW	6	HDPE	3.175	5.1	MP						
ESF21MP89	CON	6	HDPE	3.175	7.1	MP						
ESF21MP90	TWW	6	PS	3.175	5.2	MP						
ESF21MP91	TWW	6	LDPE	3.175	5.1	MP						
ESF21MP92	CON	6	PS	3.175	8.2	MP						
ESF21MP93	TWW	6	PP	3.175	5.1	MP						
ESF21MP94	TWW	6	PS	3.175	8.1	MP						
ESF21MP95	CON	6	Glass	3.175	7.1	MP						
ESF21MP96	CON	10	PP	3.175	7.1	MP						
ESF21MP97	TWW	10	PP	3.175	8.1	MP						
ESF21MP98	TWW	10	PS	3.175	5.1	MP						
ESF21MP99	CON	10	PS	3.175	6.1	MP						
ESF21MP510	TWW	0	None	0	5.1	Water						
ESF21MP512	TWW	2	None	0	5.1	Water						
ESF21MP516	TWW	6	None	0	5.1	Water						
ESF21MP5110	TWW	10	None	0	5.1	Water						
ESF21MP520	TWW	0	None	0	5.2	Water						
ESF21MP522	TWW	2	None	0	5.2	Water						
ESF21MP526	TWW	6	None	0	5.2	Water						
ESF21MP5210	TWW	10	None	0	5.2	Water						
ESF21MP610	CON	0	None	0	6.1	Water						
ESF21MP612	CON	2	None	0	6.1	Water						
ESF21MP616	CON	6	None	0	6.1	Water						
ESF21MP6110	CON	10	None	0	6.1	Water						
ESF21MP620	TWW	0	None	0	6.2	Water						
ESF21MP622	TWW	2	None	0	6.2	Water						
ESF21MP626	TWW	6	None	0	6.2	Water						
ESF21MP6210	TWW	10	None	0	6.2	Water						
ESF21MP710	CON	0	None	0	7.1	Water						
ESF21MP712	CON	2	None	0	7.1	Water						
ESF21MP716	CON	6	None	0	7.1	Water						
ESF21MP7110	CON	10	None	0	7.1	Water						
ESF21MP720	CON	0	None	0	7.2	Water						
ESF21MP722	CON	2	None	0	7.2	Water						
